"店舗名","URL","grade","スコア","業種","オーナー名","電話番号","メール","住所","市区町村","営業時間","ドメイン","サイト種別","reasons","HTTPステータス","最終URL","生存","チェック日時"
"伝わる話し方をマスターする!!】オンライン個別相談","https://peraichi.com/landing_pages/view/6wgx5","A","70","不明","担当","03-6384-0231","info@motivation-communication.com","楽しさを知る。会社員として勤務しながら、名古屋市内大手タレント事務所のアナウンススクールに2年間通い、話し方の基礎を徹底的に学ぶ。その後、会社を退職し、ブライダルの司会者としてデビューする。現在は、伝","新宿区","","peraichi.com","peraichi","peraichi; no_pricing; no_booking; no_access","200","https://peraichi.com/landing_pages/view/6wgx5","True","2026-01-18T14:27:46"
"新宿区高田馬場発✨カウンセリング専用サロン光〜心理カウンセラー佐和子〜","https://ameblo.jp/sawako12133361/entry-12682160255.html","A","60","不明","","06600662149","","新宿へ！ | 新宿区高田馬場発✨カウンセリング専用サロン光〜心理カウンセラー佐和子〜 ホーム ピグ アメブロ 芸能人ブログ 人気ブログ 新規登録 ログイン 新宿区高田馬場発✨","新宿区","","ameblo.jp","wix","wix; no_pricing; no_booking","206","https://ameblo.jp/sawako12133361/entry-12682160255.html","True","2026-01-18T14:27:46"
"suzucarecopro","https://suzucarecopro.hp.peraichi.com/","B","50","鍼灸","","080-7000-6436","xxxx@example.com","-6436 お問い合わせ お知らせ ケアギバー真夜中相談室について 介護職攻略指南所について 事務所","新宿区","","suzucarecopro.hp.peraichi.com","peraichi","peraichi; no_booking","200","https://suzucarecopro.hp.peraichi.com/","True","2026-01-18T14:27:46"
"ことのはカウンセリング＆サポート","https://kotonoha-cs.com/","B","40","不明","","02401281202","","かります。 アクセス ＜所在地＞ 東京都新宿区四谷2-8コーポクローバ駒井704号室 ＜交通＞ JR中央・総武線「四ツ谷」駅徒歩5分 東京メトロ丸の内線「四ツ谷」駅徒歩5分 東京メトロ丸の内線「四谷三","新宿区","","kotonoha-cs.com","wordpress","wordpress","206","https://kotonoha-cs.com/","True","2026-01-18T14:27:46"
"shirokuma-co","https://shirokuma-co.com/","B","40","不明","","02304271340","","東京都渋谷区代々木2-11-5 アクティブ新宿 501号室・502号室・602号室 (JR 新宿駅よ","渋谷区","","shirokuma-co.com","wordpress","wordpress","200","https://shirokuma-co.com/","True","2026-01-18T14:27:46"
"東京でカウンセリング・心理検査を受けるなら｜新宿御苑前カウンセリングセンター","https://counseling-sinjyuku.jp/counseling","B","40","不明","","02101080923","","","","","counseling-sinjyuku.jp","wordpress","wordpress","200","https://counseling-sinjyuku.jp/counseling/","True","2026-01-18T14:27:46"
"ns-counseling","https://ns-counseling.com/","B","40","不明","","03-4400-4876","","（受付時間：開室日の10時～21時） までお願いします ② 一両日中に、確認・予約確定のメールが届き","新宿区","","ns-counseling.com","fc2","fc2","200","https://ns-counseling.com/","True","2026-01-18T14:27:47"
"新宿のカウンセリング・悩み相談 | オフィス優","https://officeyu.co.jp/","B","40","不明","","03-6276-7800-","","受付時間 10:00～20:00(年中無休定休) お問い合わせはこちら カウンセラー・サロン紹介 悩","渋谷区","","officeyu.co.jp","wordpress","wordpress","200","https://officeyu.co.jp/","True","2026-01-18T14:27:47"
"東京カウンセリングスペースHiRaKu","https://suzuki-akiko.com/サービス・メニュー/個人","B","40","不明","誰にでも","070-4130-4117","info@suzuki-akiko.com","-4117 （営業の電話はご遠慮ください） info@suzuki-akiko.com ★ 新規申込","新宿区","","suzuki-akiko.com","wordpress","wordpress","200","https://suzuki-akiko.com/%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9%E3%83%BB%E3%83%A1%E3%83%8B%E3%83%A5%E3%83%BC/%E5%80%8B%E4%BA%BA/","True","2026-01-18T14:27:48"
"heartlife-counseling","https://heartlife-counseling.com/shinjuku","B","40","不明","","0000116049","slick-carousel@1.8.1","","新宿区","","heartlife-counseling.com","wordpress","wordpress","200","https://heartlife-counseling.com/shinjuku/","True","2026-01-18T14:27:48"
"puuan","https://puuan.hp.peraichi.com/medhitation","B","40","スピリチュアル","心のおやすみ処","080-0000-0000","puuan.kokoro@gmail.com","新宿御苑前 壱丁目参番館1001号室） 新宿区新宿1-3-12壱丁目参番館10階1001号室 東京メトロ 丸ノ内線 新宿御苑前駅 徒歩2分 都営新宿線 新宿三丁目駅 徒歩9分 TIME SHARING","新宿区","","puuan.hp.peraichi.com","peraichi","peraichi","200","https://puuan.hp.peraichi.com/medhitation","True","2026-01-18T14:27:48"
